USER	PID	%CPU	%MEM	VSZ	RSS	TTY	STAT	START	TIME	COMMAND	GENE
root	2	0.0	0.0	0	0	?	S	1月04	0:00	kthreadd	0
root	3	0.0	0.0	0	0	?	I<	1月04	0:00	rcu_gp	1
root	4	0.0	0.0	0	0	?	I<	1月04	0:00	rcu_par_gp	1
root	6	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/0:0H-kblockd	1
root	8	0.0	0.0	0	0	?	I<	1月04	0:00	mm_percpu_wq	1
root	9	0.0	0.0	0	0	?	S	1月04	0:00	ksoftirqd/0	1
root	10	0.0	0.0	0	0	?	I	1月04	0:04	rcu_sched	1
root	11	0.0	0.0	0	0	?	S	1月04	0:00	migration/0	1
root	12	0.0	0.0	0	0	?	S	1月04	0:00	idle_inject/0	1
root	14	0.0	0.0	0	0	?	S	1月04	0:00	cpuhp/0	1
root	15	0.0	0.0	0	0	?	S	1月04	0:00	cpuhp/1	1
root	16	0.0	0.0	0	0	?	S	1月04	0:00	idle_inject/1	1
root	17	0.0	0.0	0	0	?	S	1月04	0:00	migration/1	1
root	18	0.0	0.0	0	0	?	S	1月04	0:00	ksoftirqd/1	1
root	20	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/1:0H-events_highpri	1
root	21	0.0	0.0	0	0	?	S	1月04	0:00	cpuhp/2	1
root	22	0.0	0.0	0	0	?	S	1月04	0:00	idle_inject/2	1
root	23	0.0	0.0	0	0	?	S	1月04	0:00	migration/2	1
root	24	0.0	0.0	0	0	?	S	1月04	0:00	ksoftirqd/2	1
root	26	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/2:0H-kblockd	1
root	27	0.0	0.0	0	0	?	S	1月04	0:00	cpuhp/3	1
root	28	0.0	0.0	0	0	?	S	1月04	0:00	idle_inject/3	1
root	29	0.0	0.0	0	0	?	S	1月04	0:00	migration/3	1
root	30	0.0	0.0	0	0	?	S	1月04	0:00	ksoftirqd/3	1
root	32	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/3:0H-events_highpri	1
root	33	0.0	0.0	0	0	?	S	1月04	0:00	cpuhp/4	1
root	34	0.0	0.0	0	0	?	S	1月04	0:00	idle_inject/4	1
root	35	0.0	0.0	0	0	?	S	1月04	0:00	migration/4	1
root	36	0.0	0.0	0	0	?	S	1月04	0:00	ksoftirqd/4	1
root	38	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/4:0H-events_highpri	1
root	39	0.0	0.0	0	0	?	S	1月04	0:00	cpuhp/5	1
root	40	0.0	0.0	0	0	?	S	1月04	0:00	idle_inject/5	1
root	41	0.0	0.0	0	0	?	S	1月04	0:00	migration/5	1
root	42	0.0	0.0	0	0	?	S	1月04	0:00	ksoftirqd/5	1
root	44	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/5:0H-kblockd	1
root	45	0.0	0.0	0	0	?	S	1月04	0:00	cpuhp/6	1
root	46	0.0	0.0	0	0	?	S	1月04	0:00	idle_inject/6	1
root	47	0.0	0.0	0	0	?	S	1月04	0:00	migration/6	1
root	48	0.0	0.0	0	0	?	S	1月04	0:00	ksoftirqd/6	1
root	50	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/6:0H-events_highpri	1
root	51	0.0	0.0	0	0	?	S	1月04	0:00	cpuhp/7	1
root	52	0.0	0.0	0	0	?	S	1月04	0:00	idle_inject/7	1
root	53	0.0	0.0	0	0	?	S	1月04	0:00	migration/7	1
root	54	0.0	0.0	0	0	?	S	1月04	0:00	ksoftirqd/7	1
root	56	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/7:0H-events_highpri	1
root	57	0.0	0.0	0	0	?	S	1月04	0:00	kdevtmpfs	1
root	58	0.0	0.0	0	0	?	I<	1月04	0:00	netns	1
root	59	0.0	0.0	0	0	?	S	1月04	0:00	rcu_tasks_kthre	1
root	60	0.0	0.0	0	0	?	S	1月04	0:00	kauditd	1
root	61	0.0	0.0	0	0	?	S	1月04	0:00	khungtaskd	1
root	62	0.0	0.0	0	0	?	S	1月04	0:00	oom_reaper	1
root	63	0.0	0.0	0	0	?	I<	1月04	0:00	writeback	1
root	64	0.0	0.0	0	0	?	S	1月04	0:00	kcompactd0	1
root	65	0.0	0.0	0	0	?	SN	1月04	0:00	ksmd	1
root	66	0.0	0.0	0	0	?	SN	1月04	0:00	khugepaged	1
root	113	0.0	0.0	0	0	?	I<	1月04	0:00	kintegrityd	1
root	114	0.0	0.0	0	0	?	I<	1月04	0:00	kblockd	1
root	115	0.0	0.0	0	0	?	I<	1月04	0:00	blkcg_punt_bio	1
root	116	0.0	0.0	0	0	?	I<	1月04	0:00	tpm_dev_wq	1
root	117	0.0	0.0	0	0	?	I<	1月04	0:00	ata_sff	1
root	118	0.0	0.0	0	0	?	I<	1月04	0:00	md	1
root	119	0.0	0.0	0	0	?	I<	1月04	0:00	edac-poller	1
root	120	0.0	0.0	0	0	?	I<	1月04	0:00	devfreq_wq	1
root	121	0.0	0.0	0	0	?	S	1月04	0:00	watchdogd	1
root	123	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/1:1H-events_highpri	1
root	129	0.0	0.0	0	0	?	S	1月04	0:00	kswapd0	1
root	130	0.0	0.0	0	0	?	S	1月04	0:00	ecryptfs-kthrea	1
root	135	0.0	0.0	0	0	?	I<	1月04	0:00	kthrotld	1
root	136	0.0	0.0	0	0	?	S	1月04	0:00	irq/122-pciehp	1
root	137	0.0	0.0	0	0	?	S	1月04	0:00	irq/123-aerdrv	1
root	138	0.0	0.0	0	0	?	S	1月04	0:00	irq/124-pciehp	1
root	139	0.0	0.0	0	0	?	S	1月04	0:00	irq/125-aerdrv	1
root	140	0.0	0.0	0	0	?	I<	1月04	0:00	acpi_thermal_pm	1
root	141	0.0	0.0	0	0	?	I<	1月04	0:00	vfio-irqfd-clea	1
root	142	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/6:1H-events_highpri	1
root	143	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/7:1H-events_highpri	1
root	144	0.0	0.0	0	0	?	I<	1月04	0:00	ipv6_addrconf	1
root	153	0.0	0.0	0	0	?	I<	1月04	0:00	kstrp	1
root	156	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/u17:0-hci0	1
root	171	0.0	0.0	0	0	?	I<	1月04	0:00	charger_manager	1
root	226	0.0	0.0	0	0	?	S	1月04	0:00	scsi_eh_0	1
root	227	0.0	0.0	0	0	?	I<	1月04	0:00	scsi_tmf_0	1
root	228	0.0	0.0	0	0	?	I<	1月04	0:00	sdhci	1
root	236	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/3:1H-events_highpri	1
root	240	0.0	0.0	0	0	?	I<	1月04	0:01	kworker/4:1H-events_highpri	1
root	259	0.0	0.0	0	0	?	S	1月04	0:01	jbd2/sda5-8	1
root	260	0.0	0.0	0	0	?	I<	1月04	0:00	ext4-rsv-conver	1
root	272	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/5:1H-events_highpri	1
root	274	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/2:1H-events_highpri	1
root	294	0.0	0.0	0	0	?	I<	1月04	0:00	kworker/0:1H-events_highpri	1
